2021-11-22 11:44:56,018 INFO       decos Произошел вызов функции get_message со следующими параметрами - (<socket.socket fd=380, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58391)>,), {}. Вызов произошел из функции main() модуля decos.py
2021-11-22 11:44:56,018 INFO       server Разбор сообщения {'action': 'presence', 'time': 1637570695.9682102, 'user': {'account_name': 'test3'}}.
2021-11-22 11:44:56,020 INFO       decos Произошел вызов функции send_message со следующими параметрами - (<socket.socket fd=380, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58391)>, {'response': 200}), {}. Вызов произошел из функции main() модуля decos.py
2021-11-22 11:44:56,020 INFO       server Зарегистрирован новый пользователь <socket.socket fd=380, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58391)>.
2021-11-22 11:44:56,021 INFO       decos Произошел вызов функции process_user_message со следующими параметрами - ({'action': 'presence', 'time': 1637570695.9682102, 'user': {'account_name': 'test3'}}, [], <socket.socket fd=380, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58391)>, [<socket.socket fd=468, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58389)>, <socket.socket fd=420, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58390)>, <socket.socket fd=380, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58391)>, <socket.socket fd=372, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58392)>], {'test1': <socket.socket fd=468, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58389)>, 'test2': <socket.socket fd=420, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58390)>, 'test3': <socket.socket fd=380, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58391)>}), {}. Вызов произошел из функции main() модуля decos.py
2021-11-22 11:44:57,029 INFO       decos Произошел вызов функции get_message со следующими параметрами - (<socket.socket fd=372, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58392)>,), {}. Вызов произошел из функции main() модуля decos.py
2021-11-22 11:44:57,029 INFO       server Разбор сообщения {'action': 'presence', 'time': 1637570696.017222, 'user': {'account_name': 'test4'}}.
2021-11-22 11:44:57,031 INFO       decos Произошел вызов функции send_message со следующими параметрами - (<socket.socket fd=372, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58392)>, {'response': 200}), {}. Вызов произошел из функции main() модуля decos.py
2021-11-22 11:44:57,031 INFO       server Зарегистрирован новый пользователь <socket.socket fd=372, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58392)>.
2021-11-22 11:44:57,033 INFO       decos Произошел вызов функции process_user_message со следующими параметрами - ({'action': 'presence', 'time': 1637570696.017222, 'user': {'account_name': 'test4'}}, [], <socket.socket fd=372, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58392)>, [<socket.socket fd=468, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58389)>, <socket.socket fd=420, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58390)>, <socket.socket fd=380, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58391)>, <socket.socket fd=372, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58392)>], {'test1': <socket.socket fd=468, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58389)>, 'test2': <socket.socket fd=420, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58390)>, 'test3': <socket.socket fd=380, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58391)>, 'test4': <socket.socket fd=372, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58392)>}), {}. Вызов произошел из функции main() модуля decos.py
